Country Name,Country Code,Year,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Cereal production (metric tons),"Children out of school, primary","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Exports of goods and services (% of GDP),GDP per capita (current US$),Gini index,"Inflation, consumer prices (annual %)","Population, total","School enrollment, secondary (% gross)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
Aruba,ABW,2019,,100.0,,,,,,,73.2345915426225,31096.2050738676,,4.25746204335428,109203.0,140.313613891602,2430983609.32804,1035623647.16074,
Aruba,ABW,2020,,100.0,,,,,,,52.9926035342708,22855.9323200761,,,108587.0,132.908020019531,1356624091.21976,781263374.948162,
Aruba,ABW,2021,,100.0,,,,,,,70.7400428730839,27200.0610793969,,,107700.0,124.23558807373,2077972662.1515,886502097.220162,
Aruba,ABW,2022,,99.9,,,,,,,87.5702798253937,30559.5335346581,,,107310.0,136.216690063477,2647505945.89028,1058194457.98467,
Aruba,ABW,2023,,,,,,,,,88.3437864283018,33984.7906198041,,,107359.0,,,,
"Bahamas, The",BHS,2000,100.0,100.0,-4.1596,312.0,,1.07905420898582,1.20344170468326,1.14606406012792,38.0475628585261,24940.0775086078,,1.60632941740579,323835.0,,1973220000.0,1025680000.0,7.12
"Bahamas, The",BHS,2001,100.0,100.0,-4.1596,300.0,,1.00945382271794,1.04989283299139,1.03039261195671,34.0725886439131,25371.9237667614,,2.04498977505121,327836.0,,1804400000.0,973200000.0,6.87
"Bahamas, The",BHS,2002,100.0,100.0,-4.1596,305.0,,0.955901769210457,1.00758283992937,0.982861506438482,36.175454557738,26781.6195938652,,2.17357792508093,331614.0,86.3361587524414,2061792178.0,1016149312.606,9.05
"Bahamas, The",BHS,2003,100.0,100.0,-4.1596,340.0,,0.933184023889511,0.977051982399205,0.95730790413307,35.8102341689881,26429.1247787663,,3.02504526252236,335618.0,,2054660000.0,1092420000.0,10.84
"Bahamas, The",BHS,2004,100.0,100.0,-4.1596,355.0,7480.0,0.924723362252585,0.958495343159418,0.942774779565961,38.215231096961,26650.2934234303,,0.981914036757662,339782.0,80.6972122192383,2244080000.0,1231300000.0,10.2
